CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.2,2.6,958
Bhubaneswar,2,3.9,8.1,440
Bhubaneswar,3,1.4,4.7,795
Bhubaneswar,4,3.2,5.8,553
Bhubaneswar,5,4.0,4.2,947
Cuttack,6,4.4,1.7,436
Cuttack,7,4.8,2.2,500
Cuttack,8,3.4,7.1,857
Cuttack,9,1.7,2.0,93
Cuttack,10,4.7,6.5,113
Kolkata,11,1.9,8.2,152
Kolkata,12,4.5,3.9,420
Kolkata,13,3.8,7.7,283
Kolkata,14,3.7,9.7,175
Kolkata,15,3.0,5.6,292
Visakhapatnam,16,5.0,3.2,774
Visakhapatnam,17,1.2,7.2,765
Visakhapatnam,18,3.3,6.0,851
Visakhapatnam,19,3.3,5.2,283
Visakhapatnam,20,1.2,4.2,163
