CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.5,4.1,929
Bhubaneswar,2,4.9,5.4,155
Bhubaneswar,3,4.7,5.6,716
Bhubaneswar,4,1.7,3.0,527
Bhubaneswar,5,1.4,1.1,679
Cuttack,6,4.0,5.1,180
Cuttack,7,3.6,9.6,714
Cuttack,8,3.8,4.9,874
Cuttack,9,4.8,7.2,808
Cuttack,10,4.9,1.6,726
Kolkata,11,5.0,2.8,491
Kolkata,12,3.2,6.0,572
Kolkata,13,4.9,3.8,389
Kolkata,14,3.9,5.5,440
Kolkata,15,4.8,3.0,272
Visakhapatnam,16,1.3,6.4,804
Visakhapatnam,17,2.6,8.4,147
Visakhapatnam,18,1.3,4.8,424
Visakhapatnam,19,2.1,9.4,973
Visakhapatnam,20,2.1,8.1,456
