CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.8,1.9,783
Bhubaneswar,2,4.6,9.4,905
Bhubaneswar,3,2.3,2.4,676
Bhubaneswar,4,1.8,7.0,657
Bhubaneswar,5,1.5,2.8,351
Cuttack,6,4.4,3.8,872
Cuttack,7,4.9,2.0,220
Cuttack,8,3.3,7.5,915
Cuttack,9,3.1,7.2,752
Cuttack,10,3.5,7.1,141
Kolkata,11,3.6,8.3,463
Kolkata,12,2.4,7.1,522
Kolkata,13,1.1,7.6,683
Kolkata,14,2.4,5.5,779
Kolkata,15,4.5,3.9,279
Visakhapatnam,16,4.9,5.7,352
Visakhapatnam,17,2.7,8.6,646
Visakhapatnam,18,1.3,7.0,399
Visakhapatnam,19,5.0,2.4,269
Visakhapatnam,20,3.8,6.9,117
