CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.5,8.9,158
Bhubaneswar,2,5.0,7.3,817
Bhubaneswar,3,2.3,5.2,841
Bhubaneswar,4,4.7,6.7,980
Bhubaneswar,5,3.1,4.2,281
Cuttack,6,2.4,7.1,622
Cuttack,7,2.0,8.6,781
Cuttack,8,3.6,5.5,125
Cuttack,9,3.2,4.4,537
Cuttack,10,4.1,3.1,718
Kolkata,11,2.4,4.2,219
Kolkata,12,4.3,3.0,965
Kolkata,13,4.5,3.5,216
Kolkata,14,2.1,3.9,841
Kolkata,15,1.9,9.7,564
Visakhapatnam,16,2.1,1.1,576
Visakhapatnam,17,4.8,2.7,49
Visakhapatnam,18,1.2,1.9,678
Visakhapatnam,19,3.9,3.5,422
Visakhapatnam,20,3.3,6.4,101
