CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.2,4.7,972
Bhubaneswar,2,4.3,7.4,261
Bhubaneswar,3,3.2,4.0,295
Bhubaneswar,4,2.3,7.8,398
Bhubaneswar,5,5.0,6.5,153
Cuttack,6,4.0,7.6,431
Cuttack,7,2.9,3.4,679
Cuttack,8,1.6,5.4,300
Cuttack,9,4.5,6.1,785
Cuttack,10,2.0,6.4,711
Kolkata,11,1.3,8.5,998
Kolkata,12,3.2,10.0,287
Kolkata,13,1.9,8.4,12
Kolkata,14,1.8,8.6,39
Kolkata,15,1.8,9.1,473
Visakhapatnam,16,2.1,8.7,904
Visakhapatnam,17,4.4,4.8,689
Visakhapatnam,18,4.4,6.3,930
Visakhapatnam,19,4.7,2.6,638
Visakhapatnam,20,4.2,4.3,927
