CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.5,7.0,73
Bhubaneswar,2,3.2,3.4,297
Bhubaneswar,3,3.9,9.5,997
Bhubaneswar,4,1.5,1.3,236
Bhubaneswar,5,1.6,7.6,825
Cuttack,6,2.0,9.0,12
Cuttack,7,4.7,6.2,136
Cuttack,8,4.2,6.2,433
Cuttack,9,3.6,3.8,701
Cuttack,10,2.4,3.2,859
Kolkata,11,1.2,2.8,516
Kolkata,12,2.4,3.6,289
Kolkata,13,4.3,5.8,311
Kolkata,14,2.9,6.0,373
Kolkata,15,1.6,3.1,712
Visakhapatnam,16,2.1,8.3,332
Visakhapatnam,17,3.6,8.4,995
Visakhapatnam,18,3.6,4.9,714
Visakhapatnam,19,2.7,2.7,906
Visakhapatnam,20,4.1,5.5,909
