CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.7,1.5,479
Bhubaneswar,2,1.2,8.4,286
Bhubaneswar,3,1.1,3.2,137
Bhubaneswar,4,2.4,2.5,838
Bhubaneswar,5,5.0,3.4,406
Cuttack,6,2.1,4.9,776
Cuttack,7,4.8,9.6,699
Cuttack,8,2.2,9.9,985
Cuttack,9,4.3,6.7,495
Cuttack,10,3.1,9.4,315
Kolkata,11,1.4,1.6,455
Kolkata,12,5.0,3.8,619
Kolkata,13,3.1,8.0,908
Kolkata,14,1.9,3.4,222
Kolkata,15,1.9,3.0,756
Visakhapatnam,16,1.1,1.2,830
Visakhapatnam,17,2.3,9.2,158
Visakhapatnam,18,4.3,8.3,393
Visakhapatnam,19,2.2,8.3,167
Visakhapatnam,20,3.9,1.7,658
