CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.8,4.5,39
Bhubaneswar,2,3.5,2.2,37
Bhubaneswar,3,4.7,7.2,400
Bhubaneswar,4,3.8,4.6,268
Bhubaneswar,5,2.3,4.3,150
Cuttack,6,2.8,9.2,261
Cuttack,7,2.8,7.3,43
Cuttack,8,1.3,3.7,747
Cuttack,9,1.8,8.0,550
Cuttack,10,3.5,9.9,379
Kolkata,11,3.0,5.8,466
Kolkata,12,2.2,9.5,360
Kolkata,13,3.6,3.3,919
Kolkata,14,3.6,9.4,225
Kolkata,15,2.5,7.3,606
Visakhapatnam,16,1.2,7.6,613
Visakhapatnam,17,3.4,4.5,324
Visakhapatnam,18,3.1,4.9,817
Visakhapatnam,19,1.7,9.8,86
Visakhapatnam,20,1.7,5.9,116
