CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.3,3.2,832
Bhubaneswar,2,1.2,2.8,299
Bhubaneswar,3,2.8,2.1,607
Bhubaneswar,4,4.1,9.6,454
Bhubaneswar,5,1.5,7.9,923
Cuttack,6,1.3,7.0,597
Cuttack,7,3.2,1.7,490
Cuttack,8,4.8,6.5,456
Cuttack,9,3.6,2.2,905
Cuttack,10,1.6,2.8,811
Kolkata,11,4.9,1.4,782
Kolkata,12,4.5,8.2,903
Kolkata,13,2.3,5.9,700
Kolkata,14,3.6,2.5,250
Kolkata,15,3.9,1.7,285
Visakhapatnam,16,1.7,9.7,778
Visakhapatnam,17,2.2,7.9,609
Visakhapatnam,18,2.4,5.0,53
Visakhapatnam,19,3.2,4.9,975
Visakhapatnam,20,2.9,3.8,217
