CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.4,2.8,887
Bhubaneswar,2,1.6,9.1,323
Bhubaneswar,3,3.4,1.7,491
Bhubaneswar,4,4.0,8.1,860
Bhubaneswar,5,2.2,8.0,381
Cuttack,6,3.7,8.1,556
Cuttack,7,1.6,1.6,662
Cuttack,8,4.2,1.0,950
Cuttack,9,1.9,5.6,132
Cuttack,10,1.3,2.1,37
Kolkata,11,1.6,5.7,65
Kolkata,12,2.4,6.7,881
Kolkata,13,4.0,2.6,168
Kolkata,14,4.6,8.0,489
Kolkata,15,2.5,6.5,114
Visakhapatnam,16,4.1,2.0,722
Visakhapatnam,17,1.8,9.3,195
Visakhapatnam,18,5.0,7.2,474
Visakhapatnam,19,3.1,3.5,10
Visakhapatnam,20,1.1,6.7,578
