CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.6,2.0,886
Bhubaneswar,2,3.5,3.0,686
Bhubaneswar,3,2.5,5.8,112
Bhubaneswar,4,4.2,6.3,130
Bhubaneswar,5,3.8,4.3,860
Cuttack,6,4.3,8.9,474
Cuttack,7,3.2,3.0,206
Cuttack,8,2.3,8.9,869
Cuttack,9,1.5,4.0,551
Cuttack,10,1.6,9.1,186
Kolkata,11,3.4,9.4,959
Kolkata,12,4.6,1.8,638
Kolkata,13,1.7,4.8,57
Kolkata,14,1.7,6.7,781
Kolkata,15,1.6,5.8,787
Visakhapatnam,16,4.8,5.8,161
Visakhapatnam,17,4.1,7.7,489
Visakhapatnam,18,2.6,1.7,652
Visakhapatnam,19,2.8,3.4,86
Visakhapatnam,20,3.3,7.9,449
