CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.1,3.6,153
Bhubaneswar,2,2.1,8.5,403
Bhubaneswar,3,2.2,5.0,780
Bhubaneswar,4,4.1,1.9,842
Bhubaneswar,5,4.7,3.5,719
Cuttack,6,1.9,8.5,150
Cuttack,7,4.8,4.5,758
Cuttack,8,1.2,7.9,274
Cuttack,9,3.1,3.4,270
Cuttack,10,4.4,1.5,575
Kolkata,11,3.1,3.8,199
Kolkata,12,3.6,9.0,511
Kolkata,13,4.8,6.2,147
Kolkata,14,4.9,4.1,964
Kolkata,15,2.4,7.2,949
Visakhapatnam,16,4.5,5.8,728
Visakhapatnam,17,3.2,1.5,367
Visakhapatnam,18,1.8,4.1,219
Visakhapatnam,19,4.9,7.2,566
Visakhapatnam,20,4.7,2.9,943
