CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.4,2.2,39
Bhubaneswar,2,4.2,2.9,327
Bhubaneswar,3,3.2,1.7,481
Bhubaneswar,4,1.3,4.7,658
Bhubaneswar,5,4.4,3.4,297
Cuttack,6,4.2,6.4,219
Cuttack,7,3.2,8.8,179
Cuttack,8,4.9,2.7,104
Cuttack,9,3.0,8.5,963
Cuttack,10,4.2,1.0,381
Kolkata,11,3.9,1.6,676
Kolkata,12,1.1,9.2,281
Kolkata,13,4.7,7.9,32
Kolkata,14,2.1,2.0,430
Kolkata,15,4.9,4.4,734
Visakhapatnam,16,2.9,2.4,297
Visakhapatnam,17,1.3,8.5,621
Visakhapatnam,18,3.2,7.4,244
Visakhapatnam,19,4.0,5.2,413
Visakhapatnam,20,4.4,4.0,349
