CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.7,3.2,610
Bhubaneswar,2,3.4,8.2,565
Bhubaneswar,3,3.3,5.3,87
Bhubaneswar,4,4.1,1.6,13
Bhubaneswar,5,1.3,2.4,992
Cuttack,6,3.2,6.3,274
Cuttack,7,3.3,3.5,393
Cuttack,8,2.3,2.9,204
Cuttack,9,3.9,9.3,323
Cuttack,10,4.4,6.8,877
Kolkata,11,3.2,6.2,611
Kolkata,12,3.6,2.2,640
Kolkata,13,4.0,2.1,661
Kolkata,14,1.6,5.1,264
Kolkata,15,2.8,9.2,51
Visakhapatnam,16,2.5,5.7,374
Visakhapatnam,17,2.8,9.0,268
Visakhapatnam,18,1.2,1.9,781
Visakhapatnam,19,3.1,7.0,732
Visakhapatnam,20,2.3,2.4,560
