CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.6,2.8,81
Bhubaneswar,2,2.0,2.1,710
Bhubaneswar,3,2.6,4.2,887
Bhubaneswar,4,3.4,1.4,940
Bhubaneswar,5,2.9,1.0,858
Cuttack,6,4.1,3.9,222
Cuttack,7,3.4,2.8,774
Cuttack,8,1.9,7.1,793
Cuttack,9,3.1,5.4,887
Cuttack,10,1.5,4.8,826
Kolkata,11,1.0,9.8,292
Kolkata,12,1.1,2.5,343
Kolkata,13,3.5,2.1,922
Kolkata,14,2.7,5.6,635
Kolkata,15,3.0,2.1,321
Visakhapatnam,16,2.6,9.2,597
Visakhapatnam,17,3.6,3.3,499
Visakhapatnam,18,3.1,4.2,843
Visakhapatnam,19,4.0,3.4,514
Visakhapatnam,20,1.1,9.9,768
