CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.1,5.1,634
Bhubaneswar,2,2.8,4.4,609
Bhubaneswar,3,2.7,2.2,700
Bhubaneswar,4,4.8,7.4,718
Bhubaneswar,5,3.7,1.9,841
Cuttack,6,2.0,3.2,406
Cuttack,7,3.2,4.8,380
Cuttack,8,1.9,8.0,176
Cuttack,9,2.6,2.1,22
Cuttack,10,3.3,8.0,680
Kolkata,11,4.1,9.9,704
Kolkata,12,4.8,2.8,782
Kolkata,13,3.5,6.1,909
Kolkata,14,3.6,9.9,598
Kolkata,15,3.1,2.9,253
Visakhapatnam,16,3.6,1.4,897
Visakhapatnam,17,4.5,1.9,784
Visakhapatnam,18,1.8,2.2,472
Visakhapatnam,19,2.7,7.6,527
Visakhapatnam,20,1.9,5.6,29
