CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.8,3.2,906
Bhubaneswar,2,1.9,1.3,169
Bhubaneswar,3,1.7,2.9,127
Bhubaneswar,4,1.7,4.4,491
Bhubaneswar,5,3.5,3.5,545
Cuttack,6,1.1,8.2,664
Cuttack,7,3.1,3.1,262
Cuttack,8,4.1,2.2,839
Cuttack,9,3.5,5.9,393
Cuttack,10,4.9,2.0,716
Kolkata,11,2.4,1.5,966
Kolkata,12,4.7,10.0,966
Kolkata,13,4.8,9.2,433
Kolkata,14,2.3,2.0,186
Kolkata,15,4.0,7.1,257
Visakhapatnam,16,4.8,9.8,781
Visakhapatnam,17,3.0,1.2,106
Visakhapatnam,18,4.0,3.1,923
Visakhapatnam,19,4.7,6.6,707
Visakhapatnam,20,3.6,1.2,883
