CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.0,2.4,207
Bhubaneswar,2,1.6,5.6,71
Bhubaneswar,3,4.3,6.0,760
Bhubaneswar,4,2.1,8.6,29
Bhubaneswar,5,3.2,3.5,954
Cuttack,6,1.8,6.3,988
Cuttack,7,4.2,7.0,391
Cuttack,8,4.7,6.9,803
Cuttack,9,2.6,7.2,141
Cuttack,10,2.9,5.4,537
Kolkata,11,2.6,1.3,932
Kolkata,12,2.1,7.8,16
Kolkata,13,3.8,5.5,694
Kolkata,14,2.5,1.4,407
Kolkata,15,3.4,8.3,962
Visakhapatnam,16,3.8,9.4,539
Visakhapatnam,17,1.5,5.9,733
Visakhapatnam,18,4.4,3.0,553
Visakhapatnam,19,2.9,6.8,874
Visakhapatnam,20,2.9,2.8,520
