CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.7,6.2,284
Bhubaneswar,2,1.8,2.1,59
Bhubaneswar,3,2.7,1.6,221
Bhubaneswar,4,1.3,3.6,620
Bhubaneswar,5,4.5,8.6,902
Cuttack,6,2.8,2.9,89
Cuttack,7,2.0,1.2,390
Cuttack,8,2.1,1.7,464
Cuttack,9,4.8,8.3,100
Cuttack,10,2.4,2.3,11
Kolkata,11,2.2,8.5,981
Kolkata,12,1.3,7.4,18
Kolkata,13,2.6,8.2,590
Kolkata,14,1.3,1.6,491
Kolkata,15,4.3,5.5,146
Visakhapatnam,16,4.1,1.4,665
Visakhapatnam,17,2.8,9.3,634
Visakhapatnam,18,3.2,2.0,65
Visakhapatnam,19,4.5,2.6,642
Visakhapatnam,20,3.5,8.7,984
