CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.8,1.8,600
Bhubaneswar,2,1.9,6.8,671
Bhubaneswar,3,4.4,6.8,406
Bhubaneswar,4,4.7,3.4,398
Bhubaneswar,5,1.6,8.7,67
Cuttack,6,1.5,7.2,205
Cuttack,7,1.4,5.0,542
Cuttack,8,2.7,6.2,476
Cuttack,9,4.2,3.9,842
Cuttack,10,4.8,6.0,196
Kolkata,11,3.7,6.4,498
Kolkata,12,4.6,5.8,851
Kolkata,13,3.7,9.7,566
Kolkata,14,4.7,6.4,161
Kolkata,15,3.2,3.2,22
Visakhapatnam,16,4.3,7.3,457
Visakhapatnam,17,3.1,1.5,353
Visakhapatnam,18,4.3,8.3,116
Visakhapatnam,19,2.3,6.9,761
Visakhapatnam,20,3.1,7.6,956
