CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.3,8.5,86
Bhubaneswar,2,2.4,5.3,158
Bhubaneswar,3,1.6,4.4,557
Bhubaneswar,4,1.6,1.7,864
Bhubaneswar,5,2.4,7.5,300
Cuttack,6,5.0,4.5,839
Cuttack,7,3.9,5.5,535
Cuttack,8,2.7,1.1,496
Cuttack,9,1.1,2.9,935
Cuttack,10,1.4,1.7,568
Kolkata,11,1.2,2.5,429
Kolkata,12,3.0,4.6,504
Kolkata,13,3.4,7.9,750
Kolkata,14,1.7,8.3,583
Kolkata,15,3.2,5.2,401
Visakhapatnam,16,4.3,4.9,162
Visakhapatnam,17,1.8,1.0,18
Visakhapatnam,18,1.1,4.2,322
Visakhapatnam,19,4.1,6.6,25
Visakhapatnam,20,4.3,7.9,698
