CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.0,4.4,473
Bhubaneswar,2,4.4,10.0,507
Bhubaneswar,3,1.7,2.2,87
Bhubaneswar,4,3.5,6.6,172
Bhubaneswar,5,2.9,1.9,902
Cuttack,6,3.7,5.8,948
Cuttack,7,1.9,5.9,779
Cuttack,8,3.0,3.5,347
Cuttack,9,3.5,8.7,662
Cuttack,10,2.2,7.5,639
Kolkata,11,1.2,2.3,390
Kolkata,12,2.6,8.8,20
Kolkata,13,3.2,7.7,276
Kolkata,14,3.3,3.5,400
Kolkata,15,3.3,6.7,862
Visakhapatnam,16,4.5,7.1,624
Visakhapatnam,17,4.8,1.6,704
Visakhapatnam,18,3.6,8.4,431
Visakhapatnam,19,2.0,3.8,548
Visakhapatnam,20,1.4,9.2,48
