CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.1,3.9,287
Bhubaneswar,2,1.3,8.0,462
Bhubaneswar,3,5.0,5.4,140
Bhubaneswar,4,3.8,8.3,677
Bhubaneswar,5,2.9,9.5,71
Cuttack,6,3.5,8.4,371
Cuttack,7,3.4,5.2,371
Cuttack,8,2.7,7.9,941
Cuttack,9,2.8,6.0,894
Cuttack,10,2.7,8.1,435
Kolkata,11,5.0,8.0,973
Kolkata,12,1.9,2.6,553
Kolkata,13,2.2,2.6,933
Kolkata,14,4.7,6.8,254
Kolkata,15,2.5,9.3,153
Visakhapatnam,16,2.9,2.1,287
Visakhapatnam,17,4.1,6.3,539
Visakhapatnam,18,2.2,3.4,605
Visakhapatnam,19,3.3,7.8,638
Visakhapatnam,20,2.3,3.1,765
