CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.0,3.9,41
Bhubaneswar,2,3.9,2.9,786
Bhubaneswar,3,3.8,2.9,1000
Bhubaneswar,4,3.9,9.0,70
Bhubaneswar,5,2.6,5.8,379
Cuttack,6,1.7,9.4,857
Cuttack,7,4.4,3.3,393
Cuttack,8,4.1,6.3,867
Cuttack,9,1.3,6.0,322
Cuttack,10,2.2,8.8,898
Kolkata,11,3.4,8.5,390
Kolkata,12,3.5,6.0,636
Kolkata,13,3.9,5.6,781
Kolkata,14,1.0,8.2,379
Kolkata,15,4.1,5.0,518
Visakhapatnam,16,4.8,9.6,150
Visakhapatnam,17,3.2,7.3,852
Visakhapatnam,18,3.7,5.7,816
Visakhapatnam,19,1.1,7.4,129
Visakhapatnam,20,1.0,6.3,97
