CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.3,4.2,772
Bhubaneswar,2,4.9,3.4,178
Bhubaneswar,3,3.2,4.0,12
Bhubaneswar,4,4.1,8.2,514
Bhubaneswar,5,1.4,8.4,691
Cuttack,6,3.7,7.3,116
Cuttack,7,2.4,3.4,460
Cuttack,8,3.5,3.7,767
Cuttack,9,1.8,3.7,806
Cuttack,10,4.5,9.6,964
Kolkata,11,3.2,5.2,746
Kolkata,12,2.2,1.9,157
Kolkata,13,3.0,4.4,428
Kolkata,14,4.9,8.4,438
Kolkata,15,2.3,7.1,370
Visakhapatnam,16,1.2,4.3,829
Visakhapatnam,17,1.1,8.7,304
Visakhapatnam,18,2.0,4.5,324
Visakhapatnam,19,4.9,2.4,31
Visakhapatnam,20,1.3,9.3,827
