CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.7,7.7,428
Bhubaneswar,2,2.2,5.9,928
Bhubaneswar,3,1.2,1.3,592
Bhubaneswar,4,3.8,3.4,38
Bhubaneswar,5,4.1,6.8,429
Cuttack,6,4.7,4.0,284
Cuttack,7,3.4,3.4,367
Cuttack,8,1.3,6.4,236
Cuttack,9,1.1,9.9,815
Cuttack,10,2.6,7.3,475
Kolkata,11,3.9,3.3,500
Kolkata,12,4.3,4.3,98
Kolkata,13,2.8,1.8,578
Kolkata,14,4.3,8.1,594
Kolkata,15,3.2,5.0,700
Visakhapatnam,16,2.0,2.6,140
Visakhapatnam,17,1.7,5.9,340
Visakhapatnam,18,2.8,4.0,803
Visakhapatnam,19,2.9,6.2,75
Visakhapatnam,20,3.3,9.2,736
