CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.9,3.3,470
Bhubaneswar,2,2.7,3.5,894
Bhubaneswar,3,3.1,4.1,162
Bhubaneswar,4,3.2,3.9,555
Bhubaneswar,5,4.6,1.3,736
Cuttack,6,4.8,3.1,796
Cuttack,7,3.6,4.1,384
Cuttack,8,4.4,6.1,347
Cuttack,9,5.0,9.7,982
Cuttack,10,4.0,3.3,522
Kolkata,11,3.7,2.7,92
Kolkata,12,2.8,8.2,529
Kolkata,13,4.5,1.4,330
Kolkata,14,2.9,3.7,498
Kolkata,15,2.2,9.3,910
Visakhapatnam,16,3.2,2.2,942
Visakhapatnam,17,1.4,8.6,394
Visakhapatnam,18,1.5,6.0,632
Visakhapatnam,19,1.7,6.7,10
Visakhapatnam,20,2.1,7.1,291
