CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,5.0,3.8,794
Bhubaneswar,2,2.8,2.4,495
Bhubaneswar,3,3.1,9.3,914
Bhubaneswar,4,4.4,3.0,802
Bhubaneswar,5,2.4,7.4,953
Cuttack,6,3.4,9.4,152
Cuttack,7,1.8,9.8,202
Cuttack,8,3.3,3.9,891
Cuttack,9,4.6,8.0,848
Cuttack,10,4.3,1.0,901
Kolkata,11,3.6,8.1,407
Kolkata,12,2.3,7.7,495
Kolkata,13,2.9,3.1,984
Kolkata,14,1.6,2.9,770
Kolkata,15,2.8,5.9,561
Visakhapatnam,16,4.4,8.3,843
Visakhapatnam,17,3.0,2.9,291
Visakhapatnam,18,4.7,9.6,190
Visakhapatnam,19,4.2,9.4,693
Visakhapatnam,20,4.0,4.3,171
