CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.6,1.9,779
Bhubaneswar,2,3.3,4.4,379
Bhubaneswar,3,3.2,1.2,497
Bhubaneswar,4,2.3,6.5,82
Bhubaneswar,5,2.8,4.6,167
Cuttack,6,3.7,4.9,102
Cuttack,7,1.6,5.2,562
Cuttack,8,1.2,5.4,902
Cuttack,9,3.6,9.6,868
Cuttack,10,1.6,7.9,756
Kolkata,11,3.2,7.6,796
Kolkata,12,2.5,8.0,31
Kolkata,13,2.2,5.1,260
Kolkata,14,2.2,1.9,465
Kolkata,15,4.3,4.8,387
Visakhapatnam,16,3.2,3.4,380
Visakhapatnam,17,3.9,1.5,615
Visakhapatnam,18,2.9,9.5,856
Visakhapatnam,19,4.9,8.6,293
Visakhapatnam,20,1.3,7.4,306
