CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.5,3.7,616
Bhubaneswar,2,3.6,8.8,461
Bhubaneswar,3,1.1,8.0,673
Bhubaneswar,4,4.2,4.8,66
Bhubaneswar,5,1.1,6.5,790
Cuttack,6,1.1,2.1,610
Cuttack,7,1.3,1.2,784
Cuttack,8,2.2,5.6,480
Cuttack,9,2.6,3.6,390
Cuttack,10,3.7,7.7,91
Kolkata,11,4.4,5.9,620
Kolkata,12,2.6,1.3,146
Kolkata,13,3.5,9.0,674
Kolkata,14,2.9,2.9,141
Kolkata,15,3.2,4.0,595
Visakhapatnam,16,3.5,6.4,840
Visakhapatnam,17,4.3,5.0,72
Visakhapatnam,18,3.2,1.5,101
Visakhapatnam,19,2.6,2.1,530
Visakhapatnam,20,2.5,4.0,592
