CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.4,6.5,992
Bhubaneswar,2,2.7,9.1,999
Bhubaneswar,3,4.0,1.4,376
Bhubaneswar,4,4.2,1.6,669
Bhubaneswar,5,4.5,1.4,80
Cuttack,6,4.4,9.4,144
Cuttack,7,4.5,1.0,740
Cuttack,8,1.1,4.3,748
Cuttack,9,1.2,8.4,581
Cuttack,10,3.3,6.4,382
Kolkata,11,2.2,5.7,179
Kolkata,12,3.3,4.0,207
Kolkata,13,3.8,8.5,891
Kolkata,14,1.8,7.5,992
Kolkata,15,4.0,3.9,129
Visakhapatnam,16,5.0,1.5,26
Visakhapatnam,17,3.8,7.9,966
Visakhapatnam,18,1.8,8.2,901
Visakhapatnam,19,5.0,3.7,441
Visakhapatnam,20,1.4,3.3,882
