CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.8,8.2,605
Bhubaneswar,2,3.1,8.6,808
Bhubaneswar,3,2.5,5.0,795
Bhubaneswar,4,2.8,2.9,992
Bhubaneswar,5,1.7,1.7,696
Cuttack,6,1.4,5.8,35
Cuttack,7,1.8,2.8,982
Cuttack,8,3.8,1.7,915
Cuttack,9,4.7,7.4,685
Cuttack,10,2.0,2.0,930
Kolkata,11,3.2,8.5,327
Kolkata,12,4.8,1.0,43
Kolkata,13,1.5,8.8,543
Kolkata,14,4.1,8.3,32
Kolkata,15,2.9,5.0,858
Visakhapatnam,16,1.8,5.2,353
Visakhapatnam,17,3.7,2.8,921
Visakhapatnam,18,2.4,1.2,19
Visakhapatnam,19,4.8,2.6,336
Visakhapatnam,20,4.7,5.5,300
