CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.9,4.9,142
Bhubaneswar,2,1.6,6.1,695
Bhubaneswar,3,2.5,1.6,850
Bhubaneswar,4,1.6,1.4,841
Bhubaneswar,5,1.8,8.3,800
Cuttack,6,4.3,4.0,134
Cuttack,7,1.5,9.8,775
Cuttack,8,3.0,4.6,758
Cuttack,9,2.9,7.7,400
Cuttack,10,4.0,6.2,722
Kolkata,11,4.1,7.2,617
Kolkata,12,2.6,7.6,801
Kolkata,13,3.8,3.5,822
Kolkata,14,2.1,3.1,998
Kolkata,15,4.5,3.0,741
Visakhapatnam,16,1.1,3.6,458
Visakhapatnam,17,1.4,5.6,825
Visakhapatnam,18,2.4,9.2,154
Visakhapatnam,19,1.5,8.0,572
Visakhapatnam,20,1.7,1.5,742
