CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.5,5.5,68
Bhubaneswar,2,3.0,7.6,797
Bhubaneswar,3,4.7,1.2,62
Bhubaneswar,4,2.8,9.0,593
Bhubaneswar,5,2.6,9.9,826
Cuttack,6,1.5,1.4,618
Cuttack,7,5.0,4.6,126
Cuttack,8,4.0,8.1,241
Cuttack,9,4.8,8.2,153
Cuttack,10,2.6,7.6,862
Kolkata,11,2.0,4.7,152
Kolkata,12,2.9,7.5,381
Kolkata,13,2.3,9.6,825
Kolkata,14,1.4,8.4,163
Kolkata,15,1.5,1.1,313
Visakhapatnam,16,3.6,4.5,13
Visakhapatnam,17,2.8,9.8,41
Visakhapatnam,18,3.4,5.8,678
Visakhapatnam,19,4.3,5.6,578
Visakhapatnam,20,4.2,4.2,217
