CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.1,5.1,463
Bhubaneswar,2,1.2,1.0,505
Bhubaneswar,3,4.7,8.2,120
Bhubaneswar,4,1.8,4.4,472
Bhubaneswar,5,2.0,2.7,959
Cuttack,6,4.9,6.1,970
Cuttack,7,4.2,2.8,509
Cuttack,8,3.7,9.7,34
Cuttack,9,4.0,7.1,815
Cuttack,10,3.1,2.6,447
Kolkata,11,3.1,2.0,299
Kolkata,12,1.9,4.3,207
Kolkata,13,2.2,8.7,562
Kolkata,14,1.0,3.6,801
Kolkata,15,4.8,1.3,995
Visakhapatnam,16,1.1,1.4,98
Visakhapatnam,17,1.2,6.9,663
Visakhapatnam,18,2.5,8.0,546
Visakhapatnam,19,4.1,2.6,19
Visakhapatnam,20,3.6,1.4,264
