CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.7,8.7,246
Bhubaneswar,2,4.1,6.4,878
Bhubaneswar,3,4.2,8.3,507
Bhubaneswar,4,4.8,4.4,317
Bhubaneswar,5,1.8,1.1,868
Cuttack,6,4.3,2.3,299
Cuttack,7,4.2,3.9,872
Cuttack,8,4.3,4.3,181
Cuttack,9,1.9,3.3,368
Cuttack,10,2.2,2.7,962
Kolkata,11,2.7,8.4,803
Kolkata,12,1.4,1.6,550
Kolkata,13,3.4,9.0,100
Kolkata,14,2.5,7.7,428
Kolkata,15,1.6,3.3,613
Visakhapatnam,16,1.4,9.4,416
Visakhapatnam,17,2.7,2.1,719
Visakhapatnam,18,1.4,7.7,260
Visakhapatnam,19,1.2,4.0,62
Visakhapatnam,20,4.6,2.8,636
