CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.7,6.9,884
Bhubaneswar,2,4.8,4.5,887
Bhubaneswar,3,3.9,8.8,995
Bhubaneswar,4,3.9,5.6,279
Bhubaneswar,5,3.2,5.9,211
Cuttack,6,4.1,5.2,591
Cuttack,7,2.2,1.8,32
Cuttack,8,3.3,2.9,453
Cuttack,9,3.6,9.2,465
Cuttack,10,4.7,5.0,652
Kolkata,11,1.1,4.9,665
Kolkata,12,3.8,9.2,444
Kolkata,13,1.1,4.9,349
Kolkata,14,3.1,7.8,395
Kolkata,15,2.7,4.3,749
Visakhapatnam,16,3.1,7.5,632
Visakhapatnam,17,1.5,7.1,279
Visakhapatnam,18,1.6,2.0,109
Visakhapatnam,19,2.4,7.0,475
Visakhapatnam,20,2.2,6.2,709
