CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.2,4.0,746
Bhubaneswar,2,1.4,7.3,307
Bhubaneswar,3,3.8,7.4,900
Bhubaneswar,4,3.5,1.9,350
Bhubaneswar,5,4.0,7.6,229
Cuttack,6,2.9,6.9,748
Cuttack,7,4.0,7.9,915
Cuttack,8,4.3,4.7,33
Cuttack,9,2.7,9.1,263
Cuttack,10,4.3,8.1,96
Kolkata,11,4.0,9.9,200
Kolkata,12,4.1,1.0,163
Kolkata,13,4.6,8.1,109
Kolkata,14,1.3,6.0,183
Kolkata,15,3.1,6.5,868
Visakhapatnam,16,3.4,1.4,684
Visakhapatnam,17,1.5,4.7,373
Visakhapatnam,18,2.0,5.2,873
Visakhapatnam,19,3.5,2.7,757
Visakhapatnam,20,3.8,5.8,597
