CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.0,5.9,829
Bhubaneswar,2,4.0,1.5,548
Bhubaneswar,3,1.2,1.4,334
Bhubaneswar,4,4.5,3.2,459
Bhubaneswar,5,1.6,7.6,54
Cuttack,6,2.8,4.0,594
Cuttack,7,4.4,8.4,702
Cuttack,8,3.5,9.0,799
Cuttack,9,3.7,4.1,747
Cuttack,10,4.1,6.8,261
Kolkata,11,2.5,6.3,595
Kolkata,12,4.6,8.3,578
Kolkata,13,1.6,9.9,465
Kolkata,14,3.5,8.5,884
Kolkata,15,2.8,7.9,521
Visakhapatnam,16,2.9,9.6,157
Visakhapatnam,17,2.9,8.8,505
Visakhapatnam,18,4.7,8.7,724
Visakhapatnam,19,2.0,6.9,65
Visakhapatnam,20,4.2,1.6,137
