CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.5,8.3,886
Bhubaneswar,2,1.4,2.2,770
Bhubaneswar,3,2.2,5.7,696
Bhubaneswar,4,3.2,1.2,980
Bhubaneswar,5,3.1,4.9,31
Cuttack,6,1.4,8.5,61
Cuttack,7,2.2,7.3,977
Cuttack,8,2.9,7.2,452
Cuttack,9,2.0,1.2,517
Cuttack,10,3.9,3.3,12
Kolkata,11,2.8,6.6,337
Kolkata,12,1.8,8.9,981
Kolkata,13,4.8,9.9,154
Kolkata,14,1.2,6.4,134
Kolkata,15,2.0,4.7,102
Visakhapatnam,16,1.9,1.1,374
Visakhapatnam,17,2.0,1.4,154
Visakhapatnam,18,2.9,4.7,481
Visakhapatnam,19,4.2,8.4,911
Visakhapatnam,20,2.8,9.9,541
