CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.1,5.9,316
Bhubaneswar,2,3.8,9.6,998
Bhubaneswar,3,2.7,6.0,63
Bhubaneswar,4,3.7,9.3,892
Bhubaneswar,5,1.2,4.0,583
Cuttack,6,3.8,4.0,494
Cuttack,7,2.4,6.0,897
Cuttack,8,2.8,8.5,893
Cuttack,9,2.8,1.1,458
Cuttack,10,1.8,5.9,289
Kolkata,11,1.8,8.1,532
Kolkata,12,4.5,2.8,295
Kolkata,13,4.7,5.3,964
Kolkata,14,3.8,4.8,816
Kolkata,15,2.1,5.4,800
Visakhapatnam,16,3.0,1.4,594
Visakhapatnam,17,1.9,9.4,980
Visakhapatnam,18,1.2,7.3,782
Visakhapatnam,19,3.6,1.8,723
Visakhapatnam,20,3.8,3.8,382
