CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.5,9.3,492
Bhubaneswar,2,3.6,8.8,967
Bhubaneswar,3,5.0,6.1,595
Bhubaneswar,4,4.6,9.0,382
Bhubaneswar,5,4.5,3.8,13
Cuttack,6,4.8,5.3,764
Cuttack,7,2.2,1.5,971
Cuttack,8,3.1,8.6,844
Cuttack,9,5.0,6.9,574
Cuttack,10,4.2,5.7,172
Kolkata,11,1.7,9.2,702
Kolkata,12,4.2,3.5,98
Kolkata,13,2.8,3.2,480
Kolkata,14,1.0,3.1,767
Kolkata,15,4.4,3.7,649
Visakhapatnam,16,5.0,9.3,420
Visakhapatnam,17,3.8,3.7,416
Visakhapatnam,18,1.8,6.8,201
Visakhapatnam,19,5.0,2.0,615
Visakhapatnam,20,2.8,5.3,476
