CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.1,3.9,840
Bhubaneswar,2,3.3,5.8,505
Bhubaneswar,3,2.4,2.9,235
Bhubaneswar,4,3.3,7.8,182
Bhubaneswar,5,2.6,4.4,871
Cuttack,6,4.4,8.7,309
Cuttack,7,4.1,9.8,317
Cuttack,8,3.1,7.2,408
Cuttack,9,1.9,6.2,364
Cuttack,10,4.3,3.5,208
Kolkata,11,1.7,4.3,964
Kolkata,12,1.4,2.4,31
Kolkata,13,2.7,1.3,977
Kolkata,14,3.9,7.4,864
Kolkata,15,1.0,9.9,477
Visakhapatnam,16,2.4,2.2,469
Visakhapatnam,17,1.1,7.9,20
Visakhapatnam,18,1.2,1.9,966
Visakhapatnam,19,4.2,8.8,498
Visakhapatnam,20,3.6,7.4,179
