CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.8,3.9,366
Bhubaneswar,2,4.4,8.2,546
Bhubaneswar,3,3.1,3.7,978
Bhubaneswar,4,1.8,2.5,163
Bhubaneswar,5,2.3,1.4,262
Cuttack,6,2.2,4.6,871
Cuttack,7,3.8,3.6,411
Cuttack,8,3.8,4.9,84
Cuttack,9,4.8,1.9,688
Cuttack,10,1.2,3.5,500
Kolkata,11,1.2,6.8,877
Kolkata,12,1.5,8.0,568
Kolkata,13,3.3,4.1,383
Kolkata,14,1.7,6.2,443
Kolkata,15,1.4,3.0,313
Visakhapatnam,16,2.7,8.9,661
Visakhapatnam,17,3.5,1.3,404
Visakhapatnam,18,1.8,3.4,123
Visakhapatnam,19,2.8,8.2,478
Visakhapatnam,20,2.1,1.7,757
