CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.6,8.5,499
Bhubaneswar,2,3.8,5.9,917
Bhubaneswar,3,1.4,3.5,77
Bhubaneswar,4,4.9,5.8,419
Bhubaneswar,5,2.6,3.2,756
Cuttack,6,1.7,4.1,865
Cuttack,7,3.3,4.2,749
Cuttack,8,2.5,4.4,408
Cuttack,9,3.6,7.4,709
Cuttack,10,2.3,8.3,268
Kolkata,11,1.4,8.6,893
Kolkata,12,3.4,9.0,185
Kolkata,13,4.5,5.2,155
Kolkata,14,3.9,1.7,871
Kolkata,15,4.5,9.7,269
Visakhapatnam,16,4.8,3.9,109
Visakhapatnam,17,3.9,3.0,447
Visakhapatnam,18,3.2,7.8,658
Visakhapatnam,19,4.0,9.3,74
Visakhapatnam,20,3.5,7.9,847
