CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.0,2.0,518
Bhubaneswar,2,4.1,4.0,842
Bhubaneswar,3,2.3,3.0,98
Bhubaneswar,4,4.3,2.4,729
Bhubaneswar,5,4.2,5.9,266
Cuttack,6,4.6,8.2,858
Cuttack,7,2.7,1.8,625
Cuttack,8,3.4,9.8,426
Cuttack,9,1.8,9.3,862
Cuttack,10,2.1,3.8,735
Kolkata,11,4.9,10.0,677
Kolkata,12,4.6,6.9,916
Kolkata,13,4.6,8.6,233
Kolkata,14,2.1,5.5,81
Kolkata,15,4.5,1.4,504
Visakhapatnam,16,4.7,9.4,671
Visakhapatnam,17,4.5,6.6,133
Visakhapatnam,18,4.1,7.6,330
Visakhapatnam,19,4.4,1.7,930
Visakhapatnam,20,4.7,8.1,655
