CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.4,7.6,473
Bhubaneswar,2,2.6,6.7,765
Bhubaneswar,3,1.4,8.6,949
Bhubaneswar,4,3.3,8.5,418
Bhubaneswar,5,1.9,2.1,328
Cuttack,6,4.2,4.6,46
Cuttack,7,2.1,1.8,345
Cuttack,8,4.7,8.9,551
Cuttack,9,3.3,8.4,971
Cuttack,10,3.6,4.2,732
Kolkata,11,2.6,2.1,77
Kolkata,12,4.2,6.0,84
Kolkata,13,4.3,3.1,710
Kolkata,14,4.2,1.4,407
Kolkata,15,1.3,1.6,287
Visakhapatnam,16,4.4,4.6,404
Visakhapatnam,17,1.0,2.1,542
Visakhapatnam,18,3.7,5.8,360
Visakhapatnam,19,2.7,7.1,75
Visakhapatnam,20,3.9,2.6,265
