CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.7,9.5,571
Bhubaneswar,2,2.7,1.0,857
Bhubaneswar,3,3.3,1.1,840
Bhubaneswar,4,4.7,8.9,386
Bhubaneswar,5,3.0,1.0,841
Cuttack,6,1.8,9.6,672
Cuttack,7,3.7,3.1,992
Cuttack,8,3.1,5.5,615
Cuttack,9,4.0,1.4,293
Cuttack,10,1.3,7.1,682
Kolkata,11,1.4,3.1,63
Kolkata,12,4.8,5.3,351
Kolkata,13,3.6,3.8,888
Kolkata,14,1.5,10.0,495
Kolkata,15,2.9,2.0,606
Visakhapatnam,16,2.7,7.5,773
Visakhapatnam,17,3.0,4.2,191
Visakhapatnam,18,2.0,3.4,838
Visakhapatnam,19,3.0,9.6,785
Visakhapatnam,20,4.1,9.7,693
