CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.9,8.2,422
Bhubaneswar,2,4.9,2.7,605
Bhubaneswar,3,1.8,4.6,954
Bhubaneswar,4,2.8,5.1,445
Bhubaneswar,5,3.7,8.7,801
Cuttack,6,3.0,2.4,659
Cuttack,7,1.1,3.0,114
Cuttack,8,3.3,8.5,406
Cuttack,9,1.5,7.3,431
Cuttack,10,3.9,3.9,295
Kolkata,11,2.7,4.2,984
Kolkata,12,4.2,8.4,28
Kolkata,13,1.8,3.6,740
Kolkata,14,4.4,6.6,497
Kolkata,15,2.9,4.7,886
Visakhapatnam,16,3.1,7.4,182
Visakhapatnam,17,1.1,7.7,398
Visakhapatnam,18,4.5,8.6,734
Visakhapatnam,19,4.4,1.7,62
Visakhapatnam,20,4.5,8.8,789
