CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.1,8.4,584
Bhubaneswar,2,3.0,6.6,754
Bhubaneswar,3,2.8,2.9,717
Bhubaneswar,4,3.4,3.1,502
Bhubaneswar,5,1.9,7.8,349
Cuttack,6,3.3,4.8,803
Cuttack,7,4.9,4.9,43
Cuttack,8,4.9,4.6,60
Cuttack,9,1.9,7.3,141
Cuttack,10,2.1,8.0,996
Kolkata,11,1.3,8.2,967
Kolkata,12,1.2,7.9,802
Kolkata,13,3.2,7.6,486
Kolkata,14,5.0,3.7,604
Kolkata,15,4.8,2.6,870
Visakhapatnam,16,5.0,3.1,680
Visakhapatnam,17,3.4,9.6,311
Visakhapatnam,18,4.7,9.2,700
Visakhapatnam,19,4.0,5.1,964
Visakhapatnam,20,1.2,3.2,201
