CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.6,6.8,857
Bhubaneswar,2,2.8,3.1,131
Bhubaneswar,3,1.7,1.1,689
Bhubaneswar,4,3.6,6.0,748
Bhubaneswar,5,4.4,3.7,225
Cuttack,6,2.7,1.5,394
Cuttack,7,2.1,4.2,80
Cuttack,8,1.5,2.0,376
Cuttack,9,4.9,8.1,850
Cuttack,10,2.7,5.1,33
Kolkata,11,1.3,5.7,503
Kolkata,12,4.6,6.6,98
Kolkata,13,3.2,4.5,642
Kolkata,14,1.6,8.4,766
Kolkata,15,2.7,1.2,905
Visakhapatnam,16,4.1,2.6,905
Visakhapatnam,17,4.9,2.4,705
Visakhapatnam,18,1.2,7.3,651
Visakhapatnam,19,1.4,6.9,18
Visakhapatnam,20,1.8,5.2,174
