CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.2,2.0,571
Bhubaneswar,2,1.8,2.2,482
Bhubaneswar,3,3.3,7.1,578
Bhubaneswar,4,1.3,7.0,523
Bhubaneswar,5,3.0,8.6,165
Cuttack,6,2.4,8.4,67
Cuttack,7,2.5,7.3,209
Cuttack,8,2.5,7.0,488
Cuttack,9,1.6,3.4,628
Cuttack,10,4.1,6.6,508
Kolkata,11,1.0,2.0,329
Kolkata,12,2.5,4.0,893
Kolkata,13,3.0,7.7,692
Kolkata,14,3.0,5.5,489
Kolkata,15,3.7,2.9,38
Visakhapatnam,16,1.5,8.3,542
Visakhapatnam,17,4.9,7.7,603
Visakhapatnam,18,1.6,5.3,360
Visakhapatnam,19,3.7,5.5,990
Visakhapatnam,20,3.1,8.5,522
