CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.2,9.0,354
Bhubaneswar,2,2.0,6.8,938
Bhubaneswar,3,3.3,7.2,973
Bhubaneswar,4,1.9,3.0,772
Bhubaneswar,5,1.9,1.8,26
Cuttack,6,4.4,4.0,22
Cuttack,7,3.6,7.3,531
Cuttack,8,3.9,10.0,749
Cuttack,9,4.3,4.0,161
Cuttack,10,2.3,6.5,76
Kolkata,11,1.0,1.0,384
Kolkata,12,1.6,1.3,482
Kolkata,13,4.4,2.0,767
Kolkata,14,4.9,1.4,632
Kolkata,15,2.5,5.2,316
Visakhapatnam,16,1.4,1.2,973
Visakhapatnam,17,1.8,3.8,887
Visakhapatnam,18,1.5,7.7,726
Visakhapatnam,19,2.8,4.4,143
Visakhapatnam,20,2.5,9.0,319
