CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.1,9.3,894
Bhubaneswar,2,1.1,9.3,585
Bhubaneswar,3,2.1,7.8,96
Bhubaneswar,4,3.1,8.2,435
Bhubaneswar,5,4.5,6.6,853
Cuttack,6,2.3,2.3,910
Cuttack,7,1.7,7.5,404
Cuttack,8,2.6,5.6,987
Cuttack,9,1.1,4.5,270
Cuttack,10,3.7,9.1,422
Kolkata,11,5.0,6.0,472
Kolkata,12,3.0,8.3,495
Kolkata,13,4.5,5.1,871
Kolkata,14,3.4,2.0,499
Kolkata,15,4.0,7.3,820
Visakhapatnam,16,4.4,4.5,692
Visakhapatnam,17,3.0,8.1,798
Visakhapatnam,18,4.9,3.2,233
Visakhapatnam,19,2.2,8.9,716
Visakhapatnam,20,2.9,1.0,10
