CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.4,8.8,487
Bhubaneswar,2,1.0,4.2,238
Bhubaneswar,3,1.3,4.5,929
Bhubaneswar,4,3.2,10.0,462
Bhubaneswar,5,3.8,5.2,378
Cuttack,6,1.1,5.7,374
Cuttack,7,4.7,5.5,165
Cuttack,8,1.1,5.3,453
Cuttack,9,1.8,2.7,988
Cuttack,10,2.2,2.2,581
Kolkata,11,4.2,4.3,802
Kolkata,12,3.0,7.5,29
Kolkata,13,1.5,9.6,964
Kolkata,14,1.0,3.3,19
Kolkata,15,3.0,2.7,584
Visakhapatnam,16,2.3,6.3,293
Visakhapatnam,17,1.4,5.8,785
Visakhapatnam,18,4.1,1.7,319
Visakhapatnam,19,3.3,7.4,951
Visakhapatnam,20,2.4,4.0,142
