CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.1,5.7,219
Bhubaneswar,2,4.5,6.4,440
Bhubaneswar,3,3.0,9.3,384
Bhubaneswar,4,1.5,8.7,555
Bhubaneswar,5,4.3,1.3,980
Cuttack,6,2.9,9.4,812
Cuttack,7,1.0,8.3,309
Cuttack,8,3.4,5.0,223
Cuttack,9,2.0,9.3,56
Cuttack,10,3.7,5.2,728
Kolkata,11,4.1,4.4,293
Kolkata,12,2.9,1.6,978
Kolkata,13,3.9,4.1,274
Kolkata,14,4.1,2.9,865
Kolkata,15,1.4,6.8,881
Visakhapatnam,16,2.9,9.8,231
Visakhapatnam,17,1.5,5.0,570
Visakhapatnam,18,1.2,4.4,42
Visakhapatnam,19,1.9,9.7,422
Visakhapatnam,20,1.2,6.0,413
