CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.1,2.4,684
Bhubaneswar,2,3.1,5.7,142
Bhubaneswar,3,3.7,7.9,525
Bhubaneswar,4,2.1,1.7,332
Bhubaneswar,5,3.2,2.1,758
Cuttack,6,2.3,8.1,151
Cuttack,7,2.2,2.6,291
Cuttack,8,1.5,4.9,138
Cuttack,9,1.4,9.0,824
Cuttack,10,2.4,7.4,203
Kolkata,11,4.7,1.6,527
Kolkata,12,1.3,3.0,851
Kolkata,13,3.4,3.5,594
Kolkata,14,1.2,4.3,951
Kolkata,15,3.8,2.7,962
Visakhapatnam,16,2.9,6.7,304
Visakhapatnam,17,4.3,4.6,103
Visakhapatnam,18,4.2,7.4,501
Visakhapatnam,19,4.6,1.8,405
Visakhapatnam,20,4.4,3.3,231
