CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.7,7.5,237
Bhubaneswar,2,2.5,9.9,413
Bhubaneswar,3,4.1,2.0,59
Bhubaneswar,4,4.7,4.1,185
Bhubaneswar,5,2.6,1.8,598
Cuttack,6,2.8,2.6,802
Cuttack,7,4.5,4.2,853
Cuttack,8,3.2,6.5,363
Cuttack,9,2.0,4.7,561
Cuttack,10,3.2,3.3,536
Kolkata,11,3.5,3.2,758
Kolkata,12,1.4,9.1,123
Kolkata,13,4.2,2.4,218
Kolkata,14,3.4,4.1,590
Kolkata,15,4.3,8.5,102
Visakhapatnam,16,1.6,7.8,19
Visakhapatnam,17,4.7,9.1,108
Visakhapatnam,18,2.7,9.1,592
Visakhapatnam,19,2.3,3.6,539
Visakhapatnam,20,1.4,5.8,576
