CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.7,5.0,491
Bhubaneswar,2,3.4,4.9,221
Bhubaneswar,3,4.3,1.4,279
Bhubaneswar,4,2.6,8.3,880
Bhubaneswar,5,4.2,5.9,172
Cuttack,6,1.2,6.6,162
Cuttack,7,4.4,4.5,425
Cuttack,8,4.7,4.9,260
Cuttack,9,4.7,7.0,602
Cuttack,10,1.7,5.7,445
Kolkata,11,4.3,8.3,935
Kolkata,12,1.6,6.4,121
Kolkata,13,3.4,4.0,941
Kolkata,14,2.4,5.0,540
Kolkata,15,4.2,4.3,966
Visakhapatnam,16,3.1,6.9,743
Visakhapatnam,17,3.7,2.6,611
Visakhapatnam,18,2.2,5.2,823
Visakhapatnam,19,4.9,1.6,46
Visakhapatnam,20,4.7,8.5,222
