CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.6,4.9,737
Bhubaneswar,2,1.1,8.7,786
Bhubaneswar,3,2.6,8.8,12
Bhubaneswar,4,1.3,5.2,601
Bhubaneswar,5,3.4,1.5,145
Cuttack,6,2.0,8.0,134
Cuttack,7,1.9,4.6,255
Cuttack,8,2.7,4.8,740
Cuttack,9,4.7,7.8,876
Cuttack,10,3.6,3.5,977
Kolkata,11,1.6,4.9,154
Kolkata,12,1.5,8.7,572
Kolkata,13,1.5,1.8,934
Kolkata,14,4.6,8.4,246
Kolkata,15,3.2,9.4,83
Visakhapatnam,16,1.6,4.6,111
Visakhapatnam,17,4.7,3.7,530
Visakhapatnam,18,1.9,6.9,805
Visakhapatnam,19,1.7,2.5,156
Visakhapatnam,20,2.7,1.3,981
