CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,2.3,4.0,464
Bhubaneswar,2,3.7,4.9,613
Bhubaneswar,3,2.2,4.7,329
Bhubaneswar,4,1.1,8.6,581
Bhubaneswar,5,3.3,8.7,87
Cuttack,6,3.5,5.3,887
Cuttack,7,2.4,6.3,740
Cuttack,8,3.7,3.0,593
Cuttack,9,2.2,6.2,951
Cuttack,10,3.7,8.5,13
Kolkata,11,2.7,5.0,659
Kolkata,12,3.5,6.9,942
Kolkata,13,3.8,7.1,910
Kolkata,14,3.1,3.5,915
Kolkata,15,1.8,2.3,994
Visakhapatnam,16,1.7,3.7,478
Visakhapatnam,17,4.9,8.0,470
Visakhapatnam,18,3.8,1.8,789
Visakhapatnam,19,2.0,4.7,156
Visakhapatnam,20,3.8,4.6,39
