CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.1,10.0,412
Bhubaneswar,2,1.5,6.8,692
Bhubaneswar,3,4.3,8.9,293
Bhubaneswar,4,2.9,2.7,576
Bhubaneswar,5,4.5,5.5,846
Cuttack,6,3.8,2.8,585
Cuttack,7,4.9,3.3,855
Cuttack,8,3.8,6.9,60
Cuttack,9,1.5,1.6,929
Cuttack,10,4.7,4.6,521
Kolkata,11,4.9,2.5,793
Kolkata,12,4.1,3.0,416
Kolkata,13,2.6,1.8,591
Kolkata,14,3.8,4.8,41
Kolkata,15,3.2,1.1,728
Visakhapatnam,16,4.5,3.5,879
Visakhapatnam,17,4.2,5.1,749
Visakhapatnam,18,2.7,7.2,969
Visakhapatnam,19,4.9,8.0,443
Visakhapatnam,20,3.6,8.6,154
