CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.3,6.7,194
Bhubaneswar,2,4.5,7.7,631
Bhubaneswar,3,1.9,9.2,51
Bhubaneswar,4,2.1,1.5,973
Bhubaneswar,5,3.0,7.7,382
Cuttack,6,2.1,2.9,882
Cuttack,7,2.1,1.8,265
Cuttack,8,4.9,4.7,389
Cuttack,9,1.9,3.3,494
Cuttack,10,3.9,2.5,458
Kolkata,11,2.5,10.0,944
Kolkata,12,4.6,7.6,679
Kolkata,13,1.6,4.4,25
Kolkata,14,4.6,8.8,731
Kolkata,15,4.9,7.1,784
Visakhapatnam,16,1.2,4.1,776
Visakhapatnam,17,2.9,6.8,90
Visakhapatnam,18,2.0,9.8,487
Visakhapatnam,19,2.7,9.9,576
Visakhapatnam,20,2.4,6.0,224
