CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,4.1,3.0,492
Bhubaneswar,2,2.7,3.2,619
Bhubaneswar,3,2.5,4.5,122
Bhubaneswar,4,1.7,1.1,254
Bhubaneswar,5,3.7,9.7,764
Cuttack,6,2.4,7.9,95
Cuttack,7,3.2,1.7,190
Cuttack,8,2.0,7.5,406
Cuttack,9,3.9,6.5,200
Cuttack,10,2.3,7.1,204
Kolkata,11,1.4,5.1,48
Kolkata,12,1.4,7.5,287
Kolkata,13,3.0,4.3,687
Kolkata,14,3.1,4.3,857
Kolkata,15,2.4,10.0,118
Visakhapatnam,16,4.0,1.3,467
Visakhapatnam,17,3.6,7.0,721
Visakhapatnam,18,3.7,9.7,667
Visakhapatnam,19,4.9,6.8,816
Visakhapatnam,20,4.5,1.4,530
